"publication_id","publication_code","study_id","group_description","between_id","observation_id","dataset_id","subject","block","trial","condition_id","congruency","accuracy","rt"
5,"pratte_2010_exploring",26,"University students (US)",26,712761,30,4694,3,63,36,2,1,1.193096
5,"pratte_2010_exploring",26,"University students (US)",26,712762,30,4694,3,64,36,2,0,0.925537
5,"pratte_2010_exploring",26,"University students (US)",26,712763,30,4694,3,65,36,1,1,0.864428
5,"pratte_2010_exploring",26,"University students (US)",26,712764,30,4694,3,66,36,2,1,0.914464
5,"pratte_2010_exploring",26,"University students (US)",26,712765,30,4694,3,67,36,1,1,2.020476
5,"pratte_2010_exploring",26,"University students (US)",26,712766,30,4694,3,68,36,1,1,0.721646
5,"pratte_2010_exploring",26,"University students (US)",26,712767,30,4694,3,69,36,1,1,0.904175
5,"pratte_2010_exploring",26,"University students (US)",26,712768,30,4694,3,70,36,2,1,1.125214
5,"pratte_2010_exploring",26,"University students (US)",26,712769,30,4694,3,71,36,1,1,1.06683
5,"pratte_2010_exploring",26,"University students (US)",26,712774,30,4694,4,4,36,2,1,1.468541
5,"pratte_2010_exploring",26,"University students (US)",26,712775,30,4694,4,5,36,2,1,1.057176
5,"pratte_2010_exploring",26,"University students (US)",26,712777,30,4694,4,7,36,1,1,0.75023
5,"pratte_2010_exploring",26,"University students (US)",26,712778,30,4694,4,8,36,2,1,1.050221
5,"pratte_2010_exploring",26,"University students (US)",26,712780,30,4694,4,10,36,2,1,1.052746
5,"pratte_2010_exploring",26,"University students (US)",26,712781,30,4694,4,11,36,1,1,0.67133
5,"pratte_2010_exploring",26,"University students (US)",26,712784,30,4694,4,14,36,2,1,0.794308
5,"pratte_2010_exploring",26,"University students (US)",26,712785,30,4694,4,15,36,1,1,0.697706
5,"pratte_2010_exploring",26,"University students (US)",26,712786,30,4694,4,16,36,2,1,1.240745
5,"pratte_2010_exploring",26,"University students (US)",26,712788,30,4694,4,18,36,2,1,0.867406
5,"pratte_2010_exploring",26,"University students (US)",26,712789,30,4694,4,19,36,1,1,0.693213
5,"pratte_2010_exploring",26,"University students (US)",26,712792,30,4694,4,22,36,2,1,0.834091
5,"pratte_2010_exploring",26,"University students (US)",26,712793,30,4694,4,23,36,2,1,1.084797
5,"pratte_2010_exploring",26,"University students (US)",26,712795,30,4694,4,25,36,2,1,0.996225
5,"pratte_2010_exploring",26,"University students (US)",26,712797,30,4694,4,27,36,1,1,0.951558
5,"pratte_2010_exploring",26,"University students (US)",26,712798,30,4694,4,28,36,1,1,1.01984
5,"pratte_2010_exploring",26,"University students (US)",26,712800,30,4694,4,30,36,2,1,1.075004
5,"pratte_2010_exploring",26,"University students (US)",26,712801,30,4694,4,31,36,2,1,1.396616
5,"pratte_2010_exploring",26,"University students (US)",26,712803,30,4694,4,33,36,1,1,1.021618
5,"pratte_2010_exploring",26,"University students (US)",26,712804,30,4694,4,34,36,1,1,1.672665
5,"pratte_2010_exploring",26,"University students (US)",26,712805,30,4694,4,35,36,2,1,1.236147
5,"pratte_2010_exploring",26,"University students (US)",26,712807,30,4694,4,37,36,1,1,0.591753
5,"pratte_2010_exploring",26,"University students (US)",26,712808,30,4694,4,38,36,2,1,1.474898
5,"pratte_2010_exploring",26,"University students (US)",26,712809,30,4694,4,39,36,1,1,0.954138
5,"pratte_2010_exploring",26,"University students (US)",26,712810,30,4694,4,40,36,1,1,1.626597
5,"pratte_2010_exploring",26,"University students (US)",26,712812,30,4694,4,42,36,2,1,1.137384
5,"pratte_2010_exploring",26,"University students (US)",26,712813,30,4694,4,43,36,1,1,2.504006
5,"pratte_2010_exploring",26,"University students (US)",26,712815,30,4694,4,45,36,2,1,1.063089
5,"pratte_2010_exploring",26,"University students (US)",26,712816,30,4694,4,46,36,2,1,1.295277
5,"pratte_2010_exploring",26,"University students (US)",26,712817,30,4694,4,47,36,1,1,2.294662
5,"pratte_2010_exploring",26,"University students (US)",26,712819,30,4694,4,49,36,1,1,1.50086
5,"pratte_2010_exploring",26,"University students (US)",26,712820,30,4694,4,50,36,1,1,0.865584
5,"pratte_2010_exploring",26,"University students (US)",26,712823,30,4694,4,53,36,2,1,1.678703
5,"pratte_2010_exploring",26,"University students (US)",26,712824,30,4694,4,54,36,1,1,1.432464
