"datasetid","subject","block","trial","congruency","between","within","accuracy","rt"
51,3,1,75,2,NA,1,1,0.554
51,3,1,76,2,NA,1,1,0.569
51,3,1,77,2,NA,1,1,0.723
51,3,1,78,2,NA,1,1,0.76
51,3,1,79,1,NA,1,1,0.566
51,3,1,80,1,NA,1,1,0.503
51,3,1,81,2,NA,1,1,0.462
51,3,1,82,1,NA,1,1,0.682
51,3,1,83,2,NA,1,1,0.6
51,3,1,84,1,NA,1,1,0.555
51,3,1,85,1,NA,1,1,0.707
51,3,1,86,1,NA,1,1,0.576
51,3,1,87,2,NA,1,1,0.824
51,3,1,88,1,NA,1,1,0.514
51,3,1,89,1,NA,1,1,0.519
51,3,1,90,2,NA,1,1,0.406
51,3,1,91,1,NA,1,1,0.515
51,3,1,92,2,NA,1,1,1.148
51,3,1,93,2,NA,1,1,0.795
51,3,1,94,1,NA,1,1,0.997
51,3,1,95,1,NA,1,1,0.566
51,3,1,96,2,NA,1,1,0.643
51,4,1,4,1,NA,1,1,0.636
51,4,1,5,2,NA,1,1,0.887
51,4,1,6,2,NA,1,1,0.843
51,4,1,7,2,NA,1,1,0.851
51,4,1,8,1,NA,1,1,0.765
51,4,1,9,2,NA,1,1,1.027
51,4,1,10,2,NA,1,1,0.731
51,4,1,11,1,NA,1,1,0.892
51,4,1,12,2,NA,1,1,0.624
51,4,1,13,1,NA,1,1,0.736
51,4,1,14,1,NA,1,1,0.466
51,4,1,15,2,NA,1,1,0.99
51,4,1,16,2,NA,1,1,0.889
51,4,1,17,2,NA,1,1,0.73
51,4,1,18,1,NA,1,1,0.758
51,4,1,19,2,NA,1,1,0.671
51,4,1,20,2,NA,1,1,0.695
51,4,1,21,1,NA,1,1,0.626
51,4,1,22,1,NA,1,1,0.685
51,4,1,23,1,NA,1,1,0.625
51,4,1,24,1,NA,1,1,0.661
51,4,1,25,1,NA,1,1,0.676
51,4,1,26,2,NA,1,1,0.777
51,4,1,27,1,NA,1,1,0.672
51,4,1,28,2,NA,1,1,0.651
51,4,1,29,2,NA,1,1,0.638
51,4,1,30,1,NA,1,1,0.615
51,4,1,31,2,NA,1,1,0.8
51,4,1,32,2,NA,1,1,0.726
51,4,1,33,2,NA,1,1,0.756
51,4,1,34,2,NA,1,1,0.775
51,4,1,35,2,NA,1,1,0.787
51,4,1,36,1,NA,1,1,0.814
51,4,1,37,2,NA,1,1,0.858
51,4,1,38,2,NA,1,1,0.615
51,4,1,39,2,NA,1,1,0.762
51,4,1,40,1,NA,1,1,0.787
51,4,1,41,1,NA,1,1,0.631
51,4,1,42,2,NA,1,1,0.818
51,4,1,43,2,NA,1,1,0.919
51,4,1,44,2,NA,1,1,0.812
51,4,1,45,2,NA,1,1,0.655
51,4,1,46,2,NA,1,1,0.756
51,4,1,47,1,NA,1,1,0.685
51,4,1,48,2,NA,1,1,0.828
51,4,1,49,2,NA,1,1,0.818
51,4,1,50,1,NA,1,1,0.82
51,4,1,51,2,NA,1,1,0.746
51,4,1,52,1,NA,1,1,0.82
51,4,1,53,1,NA,1,1,0.634
51,4,1,54,2,NA,1,1,0.752
51,4,1,55,1,NA,1,1,0.756
51,4,1,56,1,NA,1,1,1.072
51,4,1,57,2,NA,1,1,0.686
51,4,1,58,1,NA,1,1,0.967
51,4,1,59,1,NA,1,1,0.676
51,4,1,60,1,NA,1,1,0.717
51,4,1,61,2,NA,1,1,0.943
51,4,1,62,2,NA,1,1,0.815
51,4,1,63,1,NA,1,1,0.679
51,4,1,64,1,NA,1,1,0.665
51,4,1,65,1,NA,1,1,0.59
51,4,1,66,1,NA,1,1,0.761
51,4,1,67,1,NA,1,1,0.616
51,4,1,68,2,NA,1,1,0.738
51,4,1,69,1,NA,1,1,0.662
51,4,1,70,2,NA,1,1,0.766
51,4,1,71,2,NA,1,1,0.797
51,4,1,72,2,NA,1,1,0.764
51,4,1,73,1,NA,1,1,0.966
51,4,1,74,1,NA,1,1,0.774
51,4,1,75,1,NA,1,1,0.655
51,4,1,76,2,NA,1,1,1.051
51,4,1,77,1,NA,1,1,0.655
51,4,1,78,2,NA,1,1,0.932
51,4,1,79,1,NA,1,1,0.854
51,4,1,80,1,NA,1,1,0.61
51,4,1,81,2,NA,1,1,1.19
51,4,1,82,1,NA,1,1,0.673
51,4,1,83,2,NA,1,1,0.777
51,4,1,84,1,NA,1,1,0.721
51,4,1,85,1,NA,1,1,0.688
51,4,1,86,1,NA,1,1,0.619
51,4,1,87,1,NA,1,1,0.815
51,4,1,88,2,NA,1,1,0.553
51,4,1,89,1,NA,1,1,0.72
51,4,1,90,2,NA,1,1,0.729
51,4,1,91,2,NA,1,1,0.983
51,4,1,92,1,NA,1,1,0.861
51,4,1,93,2,NA,1,1,1.014
51,4,1,94,1,NA,1,1,0.6
51,4,1,95,2,NA,1,1,0.673
51,4,1,96,1,NA,1,1,0.702
51,5,1,4,1,NA,1,1,0.633
51,5,1,5,1,NA,1,1,0.503
51,5,1,6,1,NA,1,1,0.63
51,5,1,7,1,NA,1,1,0.507
51,5,1,8,1,NA,1,1,0.619
51,5,1,9,1,NA,1,1,0.585
51,5,1,10,2,NA,1,1,0.639
51,5,1,11,1,NA,1,1,0.73
51,5,1,12,1,NA,1,1,0.537
51,5,1,13,1,NA,1,1,0.508
51,5,1,14,1,NA,1,1,0.491
51,5,1,15,2,NA,1,1,0.702
51,5,1,16,2,NA,1,1,0.566
51,5,1,17,1,NA,1,1,0.535
51,5,1,18,1,NA,1,1,0.505
51,5,1,19,2,NA,1,1,0.508
51,5,1,20,1,NA,1,1,0.585
51,5,1,21,2,NA,1,1,0.665
51,5,1,22,1,NA,1,1,0.495
51,5,1,23,2,NA,1,1,0.395
51,5,1,24,2,NA,1,1,0.852
51,5,1,25,2,NA,1,1,0.635
51,5,1,26,2,NA,1,1,0.687
51,5,1,27,2,NA,1,1,0.362
51,5,1,28,1,NA,1,1,0.553
51,5,1,29,1,NA,1,1,0.727
51,5,1,30,1,NA,1,1,0.636
51,5,1,31,2,NA,1,1,0.478
51,5,1,32,2,NA,1,1,0.433
51,5,1,33,1,NA,1,1,0.617
51,5,1,34,2,NA,1,1,0.619
51,5,1,35,1,NA,1,1,0.466
51,5,1,36,1,NA,1,1,0.494
51,5,1,37,1,NA,1,1,0.468
51,5,1,38,1,NA,1,1,0.484
51,5,1,39,1,NA,1,1,0.747
51,5,1,40,2,NA,1,1,0.473
51,5,1,41,2,NA,1,1,0.619
51,5,1,42,1,NA,1,1,0.501
51,5,1,43,1,NA,1,1,0.406
51,5,1,44,2,NA,1,1,0.465
51,5,1,45,2,NA,1,1,0.523
51,5,1,46,2,NA,1,1,0.823
51,5,1,47,2,NA,1,1,0.59
51,5,1,48,1,NA,1,1,0.509
51,5,1,49,2,NA,1,1,0.625
51,5,1,50,1,NA,1,1,0.455
51,5,1,51,2,NA,1,1,0.458
51,5,1,52,1,NA,1,1,0.53
51,5,1,53,1,NA,1,1,0.559
51,5,1,54,2,NA,1,1,0.866
51,5,1,55,2,NA,1,1,0.483
51,5,1,56,1,NA,1,1,0.572
51,5,1,57,1,NA,1,1,0.549
51,5,1,58,1,NA,1,1,0.656
51,5,1,59,2,NA,1,1,0.696
51,5,1,60,2,NA,1,1,0.56
